City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,cam ranh,11.9214,109.1591,30.98,58,20,4.63,VN,1682994176
277,zhangye,38.9342,100.4517,19.33,16,100,0.63,CN,1682994177
278,svetlyy,54.675,20.1347,6.65,73,100,5.69,RU,1682994178
279,port alfred,-33.5906,26.891,16.82,87,78,4.84,ZA,1682994179
280,oranjemund,-28.55,16.4333,11.39,93,8,2.49,NA,1682994181
281,karungdong,5.8844,121.263,29.69,70,22,1.58,PH,1682994183
282,saint-joseph,-21.3667,55.6167,22.21,81,16,0.65,RE,1682994184
283,santa ana de yacuma,-13.75,-65.4333,27.05,72,77,1.98,BO,1682994185
284,nowshahr,36.649,51.496,16.67,94,100,5.44,IR,1682994186
285,upington,-28.4478,21.2561,11.26,32,0,0.95,ZA,1682994188
286,greymouth,-42.4667,171.2,16.37,97,100,6.2,NZ,1682994166
287,aasiaat,68.7098,-52.8699,-9.74,86,10,2.16,GL,1682994191
288,wulingyuan,29.3494,110.5441,16.27,95,100,1.07,CN,1682994192
289,atherton,53.5237,-2.4935,9.75,86,100,2.76,GB,1682994193
290,kuta,-8.7233,115.1723,30.0,74,20,3.6,ID,1682994194
291,vadso,70.0744,29.7487,1.49,86,20,7.72,NO,1682994195
292,durban,-29.8579,31.0292,21.51,86,11,4.33,ZA,1682993924
293,ouadda,8.0777,22.4007,21.65,78,88,1.35,CF,1682994198
294,contamana,-7.3333,-75.0167,24.65,85,73,1.17,PE,1682994199
295,minas novas,-17.2186,-42.5903,18.01,95,2,0.75,BR,1682994092
296,lichuan,30.3,108.85,12.16,96,100,1.43,CN,1682994201
297,tunduma,-9.3,32.7667,13.37,95,97,2.53,TZ,1682994202
298,viljandi,58.3639,25.59,5.33,69,100,4.92,EE,1682994203
299,sompeta,18.9333,84.6,26.4,67,72,2.66,IN,1682994206
300,spas-demensk,54.4122,34.0226,1.47,71,11,1.74,RU,1682994207
301,sitka,57.0531,-135.33,7.94,81,100,4.12,US,1682994208
302,la'ie,21.6477,-157.9253,27.98,61,29,1.79,US,1682994209
303,belmonte,-15.8631,-38.8828,24.23,87,99,1.45,BR,1682994210
304,san patricio,28.017,-97.5169,24.35,78,60,5.7,US,1682994211
305,nelson,-41.2833,173.2833,19.05,92,95,1.79,NZ,1682994212
306,kourou,5.1552,-52.6478,24.03,84,40,4.04,GF,1682994213
307,oudtshoorn,-33.5907,22.2014,11.2,88,100,0.39,ZA,1682994215
308,kaifeng,34.7911,114.3483,24.16,37,100,5.45,CN,1682994216
309,vwawa,-9.1167,32.9333,14.8,94,100,1.81,TZ,1682994217
310,mingora,34.7758,72.3625,14.8,90,100,1.29,PK,1682994218
311,tokar,18.4254,37.729,23.93,69,8,3.09,SD,1682994219
312,uturoa,-16.7333,-151.4333,27.71,78,100,7.24,PF,1682994220
313,igarka,67.4667,86.5833,-6.32,81,16,2.49,RU,1682994221
314,baneh,35.9975,45.8853,3.92,74,26,1.35,IR,1682994223
315,tenenkou,14.4572,-4.9169,34.27,24,69,4.64,ML,1682994224
316,dryden,49.7833,-92.7503,5.16,36,0,3.6,CA,1682994225
317,mahdia,35.5047,11.0622,17.97,69,60,6.45,TN,1682994226
318,keflavik,64.0049,-22.5624,4.92,81,75,3.6,IS,1682994227
319,verkhniy tagil,57.3733,59.9556,7.23,78,83,2.56,RU,1682994228
